2025-07-22 17:26:56.140169 6 {'chunk_seconds': 2, 'num_freqs': 12, 'num_estimators': 100, 'max_depth': 10} 0.2239815151999815
2025-07-22 17:35:06.525566 7 {'chunk_seconds': 6, 'num_freqs': 14, 'num_estimators': 300, 'max_depth': 10} 0.22748851809213036
2025-07-22 17:43:54.944841 8 {'chunk_seconds': 4, 'num_freqs': 10, 'num_estimators': 50, 'max_depth': 30} 0.3975248017458038
2025-07-22 17:51:59.880030 9 {'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 600, 'max_depth': 20} 0.38081161294651156
2025-07-22 18:01:35.812768 10 {'chunk_seconds': 8, 'num_freqs': 9, 'num_estimators': 200, 'max_depth': 50} 0.3595744105882841
2025-07-22 18:10:14.743698 11 {'chunk_seconds': 1, 'num_freqs': 13, 'num_estimators': 600, 'max_depth': 40} 0.4091369236577419
2025-07-22 18:20:26.270160 12 {'chunk_seconds': 4, 'num_freqs': 15, 'num_estimators': 200, 'max_depth': 60} 0.45024039044736125
2025-07-22 18:29:16.334000 13 {'chunk_seconds': 4, 'num_freqs': 10, 'num_estimators': 200, 'max_depth': 60} 0.379791087183851
2025-07-22 18:38:00.388209 14 {'chunk_seconds': 7, 'num_freqs': 15, 'num_estimators': 200, 'max_depth': 60} 0.4334523222223637
2025-07-22 18:46:55.059739 15 {'chunk_seconds': 8, 'num_freqs': 15, 'num_estimators': 200, 'max_depth': 60} 0.4234564738403475
2025-07-22 18:55:49.911542 16 {'chunk_seconds': 5, 'num_freqs': 12, 'num_estimators': 200, 'max_depth': None} 0.4228052768168281
2025-07-22 19:04:32.426503 17 {'chunk_seconds': 7, 'num_freqs': 8, 'num_estimators': 50, 'max_depth': 60} 0.3859574429840282
2025-07-22 19:12:41.909817 18 {'chunk_seconds': 10, 'num_freqs': 11, 'num_estimators': 500, 'max_depth': 60} 0.34965585293139384
2025-07-22 19:22:29.372243 19 {'chunk_seconds': 3, 'num_freqs': 15, 'num_estimators': 400, 'max_depth': 60} 0.4484208876860949
2025-07-22 19:32:11.607830 20 {'chunk_seconds': 3, 'num_freqs': 13, 'num_estimators': 400, 'max_depth': 30} 0.4244721874611042
2025-07-22 19:41:34.824568 21 {'chunk_seconds': 3, 'num_freqs': 15, 'num_estimators': 400, 'max_depth': 60} 0.43983822939568756
2025-07-22 19:51:16.439542 22 {'chunk_seconds': 3, 'num_freqs': 15, 'num_estimators': 400, 'max_depth': 60} 0.4338891447045239
2025-07-22 20:01:00.880545 23 {'chunk_seconds': 3, 'num_freqs': 13, 'num_estimators': 400, 'max_depth': 60} 0.43785308161851344
2025-07-22 20:10:24.594479 24 {'chunk_seconds': 2, 'num_freqs': 14, 'num_estimators': 400, 'max_depth': 50} 0.39448391361415
2025-07-22 20:20:05.921158 25 {'chunk_seconds': 5, 'num_freqs': 13, 'num_estimators': 400, 'max_depth': None} 0.4271564184635812
2025-07-22 20:29:30.211443 26 {'chunk_seconds': 4, 'num_freqs': 3, 'num_estimators': 400, 'max_depth': 60} 0.36272947187089605
2025-07-22 20:38:42.095773 27 {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 400, 'max_depth': 60} 0.38232139202621884
